                        ********************************
*     UNIVERSITY OF BOLO********************************




                        PROGRAM RICHARDS
                        ****************


  INFILTRATION IN HOMOGENEOUS COLUMN OF SAND                                    
    22    1        4.200000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    23    1        4.400000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    24    1        4.600000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    25    1        4.800000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    26    1        5.000000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    27    1        5.200000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    28    1        5.400000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    29    1        5.600000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    30    1        5.800000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    31    1        6.000000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    32    1        6.200000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    33    1        6.400000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    34    1        6.600000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    35    1        6.800000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    36    1        7.000000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    37    1        7.200000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    38    1        7.400000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    39    1        7.600000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    40    1        7.800000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    41    1        8.000000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    42    1        8.200000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    43    1        8.400000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    44    1        8.600000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    45    1        8.800000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    46    1        9.000000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    47    1        9.200000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    48    1        9.400000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    49    1        9.600000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    50    1        9.800000E+01       -1.000000E+02        7.902810E-02        3.671478E-06
    51    1        1.000000E+02       -1.000000E+02        7.902810E-02        3.671478E-06
    52    1        1.020000E+02       -1.000000E+02        7.902810E-02        3.671478E-06
    53    1        1.040000E+02       -1.000000E+02        7.902810E-02        3.671478E-06
    54    1        1.060000E+02       -1.000000E+02        7.902810E-02        3.671478E-06
    55    1        1.080000E+02       -1.000000E+02        7.902810E-02        3.671478E-06
    56    1        1.100000E+02       -1.000000E+02        7.902810E-02        3.671478E-06
    57    1        1.120000E+02       -1.000000E+02        7.902810E-02        3.671478E-06
    58    1        1.140000E+02       -1.000000E+02        7.902810E-02        3.671478E-06
    59    1        1.160000E+02       -1.000000E+02        7.902810E-02        3.671478E-06
    60    1        1.180000E+02       -1.000000E+02        7.902810E-02        3.671478E-06


 INITIAL VOLUME OF WATER :   9.8650E+00


              REPORT AT TIME:     2.009E+02      CPU_TIME:********
              **************



 WATER ENTERED IN STEP:   5.6421E-03   CUM. WATER ENTERED:        1.7466E+00
 WATER OUT IN THE STEP:   3.6715E-06   CUM. WATER OUT:            7.3769E-04
 INITIAL WATER VOLUME:    9.8650E+00   ACTUAL WATER VOLUME:       1.1611E+01
 WATER BALANCE ERROR %:  -9.1283E-08   NUMBER OF TIME STEPS :         184


       NODE  IMAT    Z               H                   T

         1    1    0.00        -2.000000E+01        2.698348E-01
         2    1    2.00        -2.084133E+01        2.670783E-01
         3    1    4.00        -2.209772E+01        2.624822E-01
         4    1    6.00        -2.411098E+01        2.539477E-01
         5    1    8.00        -2.773132E+01        2.354339E-01
         6    1   10.00        -3.523860E+01        1.908446E-01
         7    1   12.00        -4.981233E+01        1.246653E-01
         8    1   14.00        -7.125351E+01        8.963062E-02
         9    1   16.00        -9.112462E+01        8.077147E-02
        10    1   18.00        -9.851244E+01        7.926944E-02
        11    1   20.00        -9.980065E+01        7.905944E-02
        12    1   22.00        -9.997527E+01        7.903197E-02
        13    1   24.00        -9.999708E+01        7.902856E-02
        14    1   26.00        -9.999967E+01        7.902815E-02
        15    1   28.00        -9.999996E+01        7.902811E-02
        16    1   30.00        -1.000000E+02        7.902810E-02
        17    1   32.00        -1.000000E+02        7.902810E-02
        18    1   34.00        -1.000000E+02        7.902810E-02
        19    1   36.00        -1.000000E+02        7.902810E-02
        20    1   38.00        -1.000000E+02        7.902810E-02
        21    1   40.00        -1.000000E+02        7.902810E-02
        22    1   42.00        -1.000000E+02        7.902810E-02
        23    1   44.00        -1.000000E+02        7.902810E-02
        24    1   46.00        -1.000000E+02        7.902810E-02
        25    1   48.00        -1.000000E+02        7.902810E-02
        26    1   50.00        -1.000000E+02        7.902810E-02
        27    1   52.00        -1.000000E+02        7.902810E-02
        28    1   54.00        -1.000000E+02        7.902810E-02
        29    1   56.00        -1.000000E+02        7.902810E-02
        30    1   58.00        -1.000000E+02        7.902810E-02
        31    1   60.00        -1.000000E+02        7.902810E-02
        32    1   62.00        -1.000000E+02        7.902810E-02
        33    1   64.00        -1.000000E+02        7.902810E-02
        34    1   66.00        -1.000000E+02        7.902810E-02
        35    1   68.00        -1.000000E+02        7.902810E-02
        36    1   70.00        -1.000000E+02        7.902810E-02
        37    1   72.00        -1.000000E+02        7.902810E-02
        38    1   74.00        -1.000000E+02        7.902810E-02
        39    1   76.00        -1.000000E+02        7.902810E-02
        40    1   78.00        -1.000000E+02        7.902810E-02
        41    1   80.00        -1.000000E+02        7.902810E-02
        42    1   82.00        -1.000000E+02        7.902810E-02
        43    1   84.00        -1.000000E+02        7.902810E-02
        44    1   86.00        -1.000000E+02        7.902810E-02
        45    1   88.00        -1.000000E+02        7.902810E-02
        46    1   90.00        -1.000000E+02        7.902810E-02
        47    1   92.00        -1.000000E+02        7.902810E-02
        48    1   94.00        -1.000000E+02        7.902810E-02
        49    1   96.00        -1.000000E+02        7.902810E-02
        50    1   98.00        -1.000000E+02        7.902810E-02
        51    1  100.00        -1.000000E+02        7.902810E-02
        52    1  102.00        -1.000000E+02        7.902810E-02
        53    1  104.00        -1.000000E+02        7.902810E-02
        54    1  106.00        -1.000000E+02        7.902810E-02
        55    1  108.00        -1.000000E+02        7.902810E-02
        56    1  110.00        -1.000000E+02        7.902810E-02
        57    1  112.00        -1.000000E+02        7.902810E-02
        58    1  114.00        -1.000000E+02        7.902810E-02
        59    1  116.00        -1.000000E+02        7.902810E-02
        60    1  118.00        -1.000000E+02        7.902810E-02


              REPORT AT TIME:     4.008E+02      CPU_TIME:********
              **************



 WATER ENTERED IN STEP:   4.8036E-03   CUM. WATER ENTERED:        2.7699E+00
 WATER OUT IN THE STEP:   3.6715E-06   CUM. WATER OUT:            1.4714E-03
 INITIAL WATER VOLUME:    9.8650E+00   ACTUAL WATER VOLUME:       1.2633E+01
 WATER BALANCE ERROR %:   9.3772E-08   NUMBER OF TIME STEPS :         227


       NODE  IMAT    Z               H                   T

         1    1    0.00        -2.000000E+01        2.698348E-01
         2    1    2.00        -2.034163E+01        2.687465E-01
         3    1    4.00        -2.080903E+01        2.671888E-01
         4    1    6.00        -2.145960E+01        2.648882E-01
         5    1    8.00        -2.239106E+01        2.613270E-01
         6    1   10.00        -2.378520E+01        2.554230E-01
         7    1   12.00        -2.602069E+01        2.446291E-01
         8    1   14.00        -2.998595E+01        2.224244E-01
         9    1   16.00        -3.771821E+01        1.766035E-01
        10    1   18.00        -5.140173E+01        1.200921E-01
        11    1   20.00        -7.045073E+01        9.025371E-02
        12    1   22.00        -8.870303E+01        8.140146E-02
        13    1   24.00        -9.737517E+01        7.946611E-02
        14    1   26.00        -9.951518E+01        7.910486E-02
        15    1   28.00        -9.991730E+01        7.904107E-02
        16    1   30.00        -9.998649E+01        7.903021E-02
        17    1   32.00        -9.999787E+01        7.902843E-02
        18    1   34.00        -9.999967E+01        7.902815E-02
        19    1   36.00        -9.999995E+01        7.902811E-02
        20    1   38.00        -9.999999E+01        7.902810E-02
        21    1   40.00        -1.000000E+02        7.902810E-02
        22    1   42.00        -1.000000E+02        7.902810E-02
        23    1   44.00        -1.000000E+02        7.902810E-02
        24    1   46.00        -1.000000E+02        7.902810E-02
        25    1   48.00        -1.000000E+02        7.902810E-02
        26    1   50.00        -1.000000E+02        7.902810E-02
        27    1   52.00        -1.000000E+02        7.902810E-02
        28    1   54.00        -1.000000E+02        7.902810E-02
        29    1   56.00        -1.000000E+02        7.902810E-02
        30    1   58.00        -1.000000E+02        7.902810E-02
        31    1   60.00        -1.000000E+02        7.902810E-02
        32    1   62.00        -1.000000E+02        7.902810E-02
        33    1   64.00        -1.000000E+02        7.902810E-02
        34    1   66.00        -1.000000E+02        7.902810E-02
        35    1   68.00        -1.000000E+02        7.902810E-02
        36    1   70.00        -1.000000E+02        7.902810E-02
        37    1   72.00        -1.000000E+02        7.902810E-02
        38    1   74.00        -1.000000E+02        7.902810E-02
        39    1   76.00        -1.000000E+02        7.902810E-02
        40    1   78.00        -1.000000E+02        7.902810E-02
        41    1   80.00        -1.000000E+02        7.902810E-02
        42    1   82.00        -1.000000E+02        7.902810E-02
        43    1   84.00        -1.000000E+02        7.902810E-02
        44    1   86.00        -1.000000E+02        7.902810E-02
        45    1   88.00        -1.000000E+02        7.902810E-02
        46    1   90.00        -1.000000E+02        7.902810E-02
        47    1   92.00        -1.000000E+02        7.902810E-02
        48    1   94.00        -1.000000E+02        7.902810E-02
        49    1   96.00        -1.000000E+02        7.902810E-02
        50    1   98.00        -1.000000E+02        7.902810E-02
        51    1  100.00        -1.000000E+02        7.902810E-02
        52    1  102.00        -1.000000E+02        7.902810E-02
        53    1  104.00        -1.000000E+02        7.902810E-02
        54    1  106.00        -1.000000E+02        7.902810E-02
        55    1  108.00        -1.000000E+02        7.902810E-02
        56    1  110.00        -1.000000E+02        7.902810E-02
        57    1  112.00        -1.000000E+02        7.902810E-02
        58    1  114.00        -1.000000E+02        7.902810E-02
        59    1  116.00        -1.000000E+02        7.902810E-02
        60    1  118.00        -1.000000E+02        7.902810E-02


              REPORT AT TIME:     6.069E+02      CPU_TIME:********
              **************



 WATER ENTERED IN STEP:   4.4982E-03   CUM. WATER ENTERED:        3.7227E+00
 WATER OUT IN THE STEP:   3.6715E-06   CUM. WATER OUT:            2.2281E-03
 INITIAL WATER VOLUME:    9.8650E+00   ACTUAL WATER VOLUME:       1.3585E+01
 WATER BALANCE ERROR %:   1.7404E-07   NUMBER OF TIME STEPS :         262


       NODE  IMAT    Z               H                   T

         1    1    0.00        -2.000000E+01        2.698348E-01
         2    1    2.00        -2.016792E+01        2.693052E-01
         3    1    4.00        -2.039117E+01        2.685852E-01
         4    1    6.00        -2.068931E+01        2.675954E-01
         5    1    8.00        -2.109111E+01        2.662102E-01
         6    1   10.00        -2.164078E+01        2.642201E-01
         7    1   12.00        -2.241017E+01        2.612507E-01
         8    1   14.00        -2.352468E+01        2.565771E-01
         9    1   16.00        -2.522434E+01        2.486485E-01
        10    1   18.00        -2.802010E+01        2.338162E-01
        11    1   20.00        -3.307651E+01        2.038006E-01
        12    1   22.00        -4.247660E+01        1.523917E-01
        13    1   24.00        -5.736926E+01        1.065551E-01
        14    1   26.00        -7.600018E+01        8.651218E-02
        15    1   28.00        -9.135403E+01        8.071584E-02
        16    1   30.00        -9.788421E+01        7.937673E-02
        17    1   32.00        -9.955972E+01        7.909773E-02
        18    1   34.00        -9.991354E+01        7.904166E-02
        19    1   36.00        -9.998355E+01        7.903068E-02
        20    1   38.00        -9.999695E+01        7.902858E-02
        21    1   40.00        -9.999945E+01        7.902819E-02
        22    1   42.00        -9.999990E+01        7.902811E-02
        23    1   44.00        -9.999998E+01        7.902810E-02
        24    1   46.00        -1.000000E+02        7.902810E-02
        25    1   48.00        -1.000000E+02        7.902810E-02
        26    1   50.00        -1.000000E+02        7.902810E-02
        27    1   52.00        -1.000000E+02        7.902810E-02
        28    1   54.00        -1.000000E+02        7.902810E-02
        29    1   56.00        -1.000000E+02        7.902810E-02
        30    1   58.00        -1.000000E+02        7.902810E-02
        31    1   60.00        -1.000000E+02        7.902810E-02
        32    1   62.00        -1.000000E+02        7.902810E-02
        33    1   64.00        -1.000000E+02        7.902810E-02
        34    1   66.00        -1.000000E+02        7.902810E-02
        35    1   68.00        -1.000000E+02        7.902810E-02
        36    1   70.00        -1.000000E+02        7.902810E-02
        37    1   72.00        -1.000000E+02        7.902810E-02
        38    1   74.00        -1.000000E+02        7.902810E-02
        39    1   76.00        -1.000000E+02        7.902810E-02
        40    1   78.00        -1.000000E+02        7.902810E-02
        41    1   80.00        -1.000000E+02        7.902810E-02
        42    1   82.00        -1.000000E+02        7.902810E-02
        43    1   84.00        -1.000000E+02        7.902810E-02
        44    1   86.00        -1.000000E+02        7.902810E-02
        45    1   88.00        -1.000000E+02        7.902810E-02
        46    1   90.00        -1.000000E+02        7.902810E-02
        47    1   92.00        -1.000000E+02        7.902810E-02
        48    1   94.00        -1.000000E+02        7.902810E-02
        49    1   96.00        -1.000000E+02        7.902810E-02
        50    1   98.00        -1.000000E+02        7.902810E-02
        51    1  100.00        -1.000000E+02        7.902810E-02
        52    1  102.00        -1.000000E+02        7.902810E-02
        53    1  104.00        -1.000000E+02        7.902810E-02
        54    1  106.00        -1.000000E+02        7.902810E-02
        55    1  108.00        -1.000000E+02        7.902810E-02
        56    1  110.00        -1.000000E+02        7.902810E-02
        57    1  112.00        -1.000000E+02        7.902810E-02
        58    1  114.00        -1.000000E+02        7.902810E-02
        59    1  116.00        -1.000000E+02        7.902810E-02
        60    1  118.00        -1.000000E+02        7.902810E-02


              REPORT AT TIME:     8.023E+02      CPU_TIME:********
              **************



 WATER ENTERED IN STEP:   4.3639E-03   CUM. WATER ENTERED:        4.5865E+00
 WATER OUT IN THE STEP:   3.6715E-06   CUM. WATER OUT:            2.9456E-03
 INITIAL WATER VOLUME:    9.8650E+00   ACTUAL WATER VOLUME:       1.4449E+01
 WATER BALANCE ERROR %:   1.6927E-07   NUMBER OF TIME STEPS :         282


       NODE  IMAT    Z               H                   T

         1    1    0.00        -2.000000E+01        2.698348E-01
         2    1    2.00        -2.009284E+01        2.695432E-01
         3    1    4.00        -2.021477E+01        2.691556E-01
         4    1    6.00        -2.037487E+01        2.686383E-01
         5    1    8.00        -2.058564E+01        2.679433E-01
         6    1   10.00        -2.086466E+01        2.669982E-01
         7    1   12.00        -2.123752E+01        2.656909E-01
         8    1   14.00        -2.174292E+01        2.638381E-01
         9    1   16.00        -2.244236E+01        2.611219E-01
        10    1   18.00        -2.344007E+01        2.569471E-01
        11    1   20.00        -2.492780E+01        2.500977E-01
        12    1   22.00        -2.729440E+01        2.378483E-01
        13    1   24.00        -3.139734E+01        2.139678E-01
        14    1   26.00        -3.895808E+01        1.698541E-01
        15    1   28.00        -5.157058E+01        1.196328E-01
        16    1   30.00        -6.867547E+01        9.174777E-02
        17    1   32.00        -8.579552E+01        8.227360E-02
        18    1   34.00        -9.572783E+01        7.977127E-02
        19    1   36.00        -9.897886E+01        7.919189E-02
        20    1   38.00        -9.977510E+01        7.906348E-02
        21    1   40.00        -9.995213E+01        7.903560E-02
        22    1   42.00        -9.999004E+01        7.902966E-02
        23    1   44.00        -9.999797E+01        7.902842E-02
        24    1   46.00        -9.999959E+01        7.902816E-02
        25    1   48.00        -9.999992E+01        7.902811E-02
        26    1   50.00        -9.999998E+01        7.902810E-02
        27    1   52.00        -1.000000E+02        7.902810E-02
        28    1   54.00        -1.000000E+02        7.902810E-02
        29    1   56.00        -1.000000E+02        7.902810E-02
        30    1   58.00        -1.000000E+02        7.902810E-02
        31    1   60.00        -1.000000E+02        7.902810E-02
        32    1   62.00        -1.000000E+02        7.902810E-02
        33    1   64.00        -1.000000E+02        7.902810E-02
        34    1   66.00        -1.000000E+02        7.902810E-02
        35    1   68.00        -1.000000E+02        7.902810E-02
        36    1   70.00        -1.000000E+02        7.902810E-02
        37    1   72.00        -1.000000E+02        7.902810E-02
        38    1   74.00        -1.000000E+02        7.902810E-02
        39    1   76.00        -1.000000E+02        7.902810E-02
        40    1   78.00        -1.000000E+02        7.902810E-02
        41    1   80.00        -1.000000E+02        7.902810E-02
        42    1   82.00        -1.000000E+02        7.902810E-02
        43    1   84.00        -1.000000E+02        7.902810E-02
        44    1   86.00        -1.000000E+02        7.902810E-02
        45    1   88.00        -1.000000E+02        7.902810E-02
        46    1   90.00        -1.000000E+02        7.902810E-02
        47    1   92.00        -1.000000E+02        7.902810E-02
        48    1   94.00        -1.000000E+02        7.902810E-02
        49    1   96.00        -1.000000E+02        7.902810E-02
        50    1   98.00        -1.000000E+02        7.902810E-02
        51    1  100.00        -1.000000E+02        7.902810E-02
        52    1  102.00        -1.000000E+02        7.902810E-02
        53    1  104.00        -1.000000E+02        7.902810E-02
        54    1  106.00        -1.000000E+02        7.902810E-02
        55    1  108.00        -1.000000E+02        7.902810E-02
        56    1  110.00        -1.000000E+02        7.902810E-02
        57    1  112.00        -1.000000E+02        7.902810E-02
        58    1  114.00        -1.000000E+02        7.902810E-02
        59    1  116.00        -1.000000E+02        7.902810E-02
        60    1  118.00        -1.000000E+02        7.902810E-02


              REPORT AT TIME:     1.001E+03      CPU_TIME:********
              **************



 WATER ENTERED IN STEP:   4.2917E-03   CUM. WATER ENTERED:        5.4447E+00
 WATER OUT IN THE STEP:   3.6715E-06   CUM. WATER OUT:            3.6746E-03
 INITIAL WATER VOLUME:    9.8650E+00   ACTUAL WATER VOLUME:       1.5306E+01
 WATER BALANCE ERROR %:   1.3817E-07   NUMBER OF TIME STEPS :         306


       NODE  IMAT    Z               H                   T

         1    1    0.00        -2.000000E+01        2.698348E-01
         2    1    2.00        -2.005277E+01        2.696694E-01
         3    1    4.00        -2.012164E+01        2.694521E-01
         4    1    6.00        -2.021129E+01        2.691667E-01
         5    1    8.00        -2.032793E+01        2.687910E-01
         6    1   10.00        -2.047989E+01        2.682940E-01
         7    1   12.00        -2.067861E+01        2.676315E-01
         8    1   14.00        -2.094006E+01        2.667379E-01
         9    1   16.00        -2.128728E+01        2.655126E-01
        10    1   18.00        -2.175460E+01        2.637943E-01
        11    1   20.00        -2.239572E+01        2.613084E-01
        12    1   22.00        -2.329959E+01        2.575558E-01
        13    1   24.00        -2.462509E+01        2.515492E-01
        14    1   26.00        -2.668298E+01        2.411538E-01
        15    1   28.00        -3.013900E+01        2.215155E-01
        16    1   30.00        -3.640229E+01        1.840532E-01
        17    1   32.00        -4.727083E+01        1.329805E-01
        18    1   34.00        -6.292418E+01        9.792984E-02
        19    1   36.00        -8.049140E+01        8.427339E-02
        20    1   38.00        -9.311272E+01        8.031053E-02
        21    1   40.00        -9.817389E+01        7.932685E-02
        22    1   42.00        -9.956705E+01        7.909656E-02
        23    1   44.00        -9.990128E+01        7.904358E-02
        24    1   46.00        -9.997793E+01        7.903155E-02
        25    1   48.00        -9.999514E+01        7.902886E-02
        26    1   50.00        -9.999895E+01        7.902826E-02
        27    1   52.00        -9.999978E+01        7.902813E-02
        28    1   54.00        -9.999995E+01        7.902811E-02
        29    1   56.00        -9.999999E+01        7.902810E-02
        30    1   58.00        -1.000000E+02        7.902810E-02
        31    1   60.00        -1.000000E+02        7.902810E-02
        32    1   62.00        -1.000000E+02        7.902810E-02
        33    1   64.00        -1.000000E+02        7.902810E-02
        34    1   66.00        -1.000000E+02        7.902810E-02
        35    1   68.00        -1.000000E+02        7.902810E-02
        36    1   70.00        -1.000000E+02        7.902810E-02
        37    1   72.00        -1.000000E+02        7.902810E-02
        38    1   74.00        -1.000000E+02        7.902810E-02
        39    1   76.00        -1.000000E+02        7.902810E-02
        40    1   78.00        -1.000000E+02        7.902810E-02
        41    1   80.00        -1.000000E+02        7.902810E-02
        42    1   82.00        -1.000000E+02        7.902810E-02
        43    1   84.00        -1.000000E+02        7.902810E-02
        44    1   86.00        -1.000000E+02        7.902810E-02
        45    1   88.00        -1.000000E+02        7.902810E-02
        46    1   90.00        -1.000000E+02        7.902810E-02
        47    1   92.00        -1.000000E+02        7.902810E-02
        48    1   94.00        -1.000000E+02        7.902810E-02
        49    1   96.00        -1.000000E+02        7.902810E-02
        50    1   98.00        -1.000000E+02        7.902810E-02
        51    1  100.00        -1.000000E+02        7.902810E-02
        52    1  102.00        -1.000000E+02        7.902810E-02
        53    1  104.00        -1.000000E+02        7.902810E-02
        54    1  106.00        -1.000000E+02        7.902810E-02
        55    1  108.00        -1.000000E+02        7.902810E-02
        56    1  110.00        -1.000000E+02        7.902810E-02
        57    1  112.00        -1.000000E+02        7.902810E-02
        58    1  114.00        -1.000000E+02        7.902810E-02
        59    1  116.00        -1.000000E+02        7.902810E-02
        60    1  118.00        -1.000000E+02        7.902810E-02


              REPORT AT TIME:     1.200E+03      CPU_TIME:********
              **************



 WATER ENTERED IN STEP:   4.2514E-03   CUM. WATER ENTERED:        6.2959E+00
 WATER OUT IN THE STEP:   3.6715E-06   CUM. WATER OUT:            4.4067E-03
 INITIAL WATER VOLUME:    9.8650E+00   ACTUAL WATER VOLUME:       1.6157E+01
 WATER BALANCE ERROR %:   1.1493E-07   NUMBER OF TIME STEPS :         353


       NODE  IMAT    Z               H                   T

         1    1    0.00        -2.000000E+01        2.698348E-01
         2    1    2.00        -2.003054E+01        2.697392E-01
         3    1    4.00        -2.007025E+01        2.696144E-01
         4    1    6.00        -2.012171E+01        2.694519E-01
         5    1    8.00        -2.018823E+01        2.692404E-01
         6    1   10.00        -2.027420E+01        2.689647E-01
         7    1   12.00        -2.038536E+01        2.686042E-01
         8    1   14.00        -2.052945E+01        2.681301E-01
         9    1   16.00        -2.071701E+01        2.675018E-01
        10    1   18.00        -2.096269E+01        2.666594E-01
        11    1   20.00        -2.128743E+01        2.655120E-01
        12    1   22.00        -2.172216E+01        2.639161E-01
        13    1   24.00        -2.231456E+01        2.616313E-01
        14    1   26.00        -2.314222E+01        2.582297E-01
        15    1   28.00        -2.434062E+01        2.528869E-01
        16    1   30.00        -2.616738E+01        2.438693E-01
        17    1   32.00        -2.916060E+01        2.272779E-01
        18    1   34.00        -3.448270E+01        1.953357E-01
        19    1   36.00        -4.396729E+01        1.458112E-01
        20    1   38.00        -5.835595E+01        1.047841E-01
        21    1   40.00        -7.580108E+01        8.662580E-02
        22    1   42.00        -9.035077E+01        8.096414E-02
        23    1   44.00        -9.723221E+01        7.949162E-02
        24    1   46.00        -9.931365E+01        7.913730E-02
        25    1   48.00        -9.983757E+01        7.905362E-02
        26    1   50.00        -9.996224E+01        7.903401E-02
        27    1   52.00        -9.999132E+01        7.902946E-02
        28    1   54.00        -9.999803E+01        7.902841E-02
        29    1   56.00        -9.999956E+01        7.902817E-02
        30    1   58.00        -9.999990E+01        7.902812E-02
        31    1   60.00        -9.999998E+01        7.902810E-02
        32    1   62.00        -1.000000E+02        7.902810E-02
        33    1   64.00        -1.000000E+02        7.902810E-02
        34    1   66.00        -1.000000E+02        7.902810E-02
        35    1   68.00        -1.000000E+02        7.902810E-02
        36    1   70.00        -1.000000E+02        7.902810E-02
        37    1   72.00        -1.000000E+02        7.902810E-02
        38    1   74.00        -1.000000E+02        7.902810E-02
        39    1   76.00        -1.000000E+02        7.902810E-02
        40    1   78.00        -1.000000E+02        7.902810E-02
        41    1   80.00        -1.000000E+02        7.902810E-02
        42    1   82.00        -1.000000E+02        7.902810E-02
        43    1   84.00        -1.000000E+02        7.902810E-02
        44    1   86.00        -1.000000E+02        7.902810E-02
        45    1   88.00        -1.000000E+02        7.902810E-02
        46    1   90.00        -1.000000E+02        7.902810E-02
        47    1   92.00        -1.000000E+02        7.902810E-02
        48    1   94.00        -1.000000E+02        7.902810E-02
        49    1   96.00        -1.000000E+02        7.902810E-02
        50    1   98.00        -1.000000E+02        7.902810E-02
        51    1  100.00        -1.000000E+02        7.902810E-02
        52    1  102.00        -1.000000E+02        7.902810E-02
        53    1  104.00        -1.000000E+02        7.902810E-02
        54    1  106.00        -1.000000E+02        7.902810E-02
        55    1  108.00        -1.000000E+02        7.902810E-02
        56    1  110.00        -1.000000E+02        7.902810E-02
        57    1  112.00        -1.000000E+02        7.902810E-02
        58    1  114.00        -1.000000E+02        7.902810E-02
        59    1  116.00        -1.000000E+02        7.902810E-02
        60    1  118.00        -1.000000E+02        7.902810E-02


              REPORT AT TIME:     1.401E+03      CPU_TIME:********
