                        ********************************
*     UNIVERSITY OF BOLO********************************




                        PROGRAM RICHARDS
                        ****************


  INFILTRATION IN HOMOGENEOUS COLUMN OF SAND                                    



    NUMBER OF NODES                 (NNODE)...: 60
    NUMBER OF SOIL MATERIALS        (NMAT)....:  4
    NUMBER OF LAYERS (NLAY)....:  1
    KODE   OF SOLUTION METHOD (KODE)....:  4
    KODE   FOR RESTART READING      (KREST)...:  0
    KODE   FOR BOUNDARY CONDITIONS  (KBOUN)...:  0
    KODE FOR COMP.INTEBLOCK COND.   (KBLOCK)..:  4


                             SOIL PARAMETERS
                             ***************

    IM   KS(IM)     PA(IM)   ALFA(IM)  BETA(IM)  GAMMA(IM) TETAS(IM) TETAR(IM)
        27    1   52.50        -1.000000E+02        7.902810E-02
        28    1   54.50        -1.000000E+02        7.902810E-02
        29    1   56.50        -1.000000E+02        7.902810E-02
        30    1   58.50        -1.000000E+02        7.902810E-02
        31    1   60.50        -1.000000E+02        7.902810E-02
        32    1   62.50        -1.000000E+02        7.902810E-02
        33    1   64.50        -1.000000E+02        7.902810E-02
        34    1   66.50        -1.000000E+02        7.902810E-02
        35    1   68.50        -1.000000E+02        7.902810E-02
        36    1   70.50        -1.000000E+02        7.902810E-02
        37    1   72.50        -1.000000E+02        7.902810E-02
        38    1   74.50        -1.000000E+02        7.902810E-02
        39    1   76.50        -1.000000E+02        7.902810E-02
        40    1   78.50        -1.000000E+02        7.902810E-02
        41    1   80.50        -1.000000E+02        7.902810E-02
        42    1   82.50        -1.000000E+02        7.902810E-02
        43    1   84.50        -1.000000E+02        7.902810E-02
        44    1   86.50        -1.000000E+02        7.902810E-02
        45    1   88.50        -1.000000E+02        7.902810E-02
        46    1   90.50        -1.000000E+02        7.902810E-02
        47    1   92.50        -1.000000E+02        7.902810E-02
        48    1   94.50        -1.000000E+02        7.902810E-02
        49    1   96.50        -1.000000E+02        7.902810E-02
        50    1   98.50        -1.000000E+02        7.902810E-02
        51    1  100.50        -1.000000E+02        7.902810E-02
        52    1  102.50        -1.000000E+02        7.902810E-02
        53    1  104.50        -1.000000E+02        7.902810E-02
        54    1  106.50        -1.000000E+02        7.902810E-02
        55    1  108.50        -1.000000E+02        7.902810E-02
        56    1  110.50        -1.000000E+02        7.902810E-02
        57    1  112.50        -1.000000E+02        7.902810E-02
        58    1  114.50        -1.000000E+02        7.902810E-02
        59    1  116.50        -1.000000E+02        7.902810E-02
        60    1  118.50        -1.000000E+02        7.902810E-02


              REPORT AT TIME:     1.240E+02      CPU_TIME:********
              **************



 WATER ENTERED IN STEP:   6.8457E-03   CUM. WATER ENTERED:        1.3693E+00
 WATER OUT IN THE STEP:   3.6715E-06   CUM. WATER OUT:            4.5515E-04
 INITIAL WATER VOLUME:    9.8650E+00   ACTUAL WATER VOLUME:       1.1461E+01
